title,link,source,snippet,date,absolute_date
Brazil and Mexico Are Playing a Dangerous Inflation Game,https://www.bloomberg.com/opinion/articles/2024-08-19/brazil-and-mexico-are-playing-a-dangerous-game-against-inflation,Bloomberg,"As Latin America's two biggest economies face rising prices, their central banks need to be careful not to cave in to political considerations.","Aug 19, 2024",2024-08-19
Brazil Analysts Lift Interest Rate Forecast as Economy Outperforms,https://www.bloomberg.com/news/articles/2024-08-19/brazil-analysts-lift-interest-rate-forecast,Bloomberg,Brazil analysts lifted their estimates for the benchmark interest rate at the end of next year after the central bank said it won't hesitate to tighten...,"Aug 19, 2024",2024-08-19
Brazil's Lula Is Running Huge Budget Deficits and Scaring Off Investors,https://www.bloomberg.com/news/articles/2024-08-19/lula-is-running-huge-budget-deficits-and-scaring-off-investors,Bloomberg,"It's been almost two years now since Luiz Inacio Lula da Silva secured his return to power in Brazil. For investors, they've been bleak.","Aug 19, 2024",2024-08-19
"US CFTC orders Brazilian, Swiss firms to pay $750,000 over wash sales",https://www.reuters.com/markets/commodities/us-cftc-orders-brazilian-swiss-firms-pay-750000-over-wash-sales-2024-08-19/,Reuters,"WASHINGTON, Aug 19 (Reuters) - The U.S. Commodity Futures Trading Commission settled charges on Monday against Brazilian energy company Raizen Energia SA...","Aug 19, 2024",2024-08-19
"Brazilian media mogul Silvio Santos dead at 93, SBT TV says",https://www.reuters.com/world/americas/brazilian-media-mogul-silvio-santos-dead-93-sbt-tv-says-2024-08-17/,Reuters,"SAO PAULO, Aug 17 (Reuters) - Brazilian media mogul Silvio Santos, who went from street vendor to owner of a business empire including one of the country's...","Aug 17, 2024",2024-08-17
"Silvio Santos, Brazilian TV Executive and Host, Dies at 93",https://www.bloomberg.com/news/articles/2024-08-17/silvio-santos-brazilian-tv-executive-and-host-dies-at-93,Bloomberg,"Brazilian businessman and television host Silvio Santos has died, according to a social media note from SBT, the TV network he founded. He was 93.","Aug 17, 2024",2024-08-17
X says it is closing operations in Brazil due to judge's content orders,https://www.reuters.com/technology/x-close-operations-brazil-effective-immediately-2024-08-17/,Reuters,"Media platform X said on Saturday it would close its operations in Brazil ""effective immediately"" due to what it called ""censorship orders"" by Brazilian judge...","Aug 17, 2024",2024-08-17
"Musk Vows to Close X’s Brazil Operations, Will Maintain Service",https://www.bloomberg.com/news/articles/2024-08-17/musk-vows-to-close-x-s-brazil-operations-will-maintain-service,Bloomberg.com,"Elon Musk's X is closing its operations in Brazil while keeping the service available in the country, according to posts Saturday from the social-media...","Aug 17, 2024",2024-08-17
Hopes for revival of Brazil's IPO market evaporate,https://www.reuters.com/markets/hopes-revival-brazils-ipo-market-evaporate-2024-08-16/,Reuters,"SAO PAULO, Aug 16 (Reuters) - Concerns about Brazil's fiscal health and high interest rates have helped dash hopes that as many as 20 of its companies could...","Aug 16, 2024",2024-08-16
Brazil ex-minister formally accused of blocking voters in 2022 election,https://www.reuters.com/world/americas/brazil-ex-minister-formally-accused-blocking-voters-2022-election-2024-08-16/,Reuters,"BRASILIA, Aug 16 (Reuters) - Brazil's federal police formally accused the country's former justice minister, who served under ex-President Jair Bolsonaro,...","Aug 16, 2024",2024-08-16
"Troubled Brazil Airlines Hit With Losses on Currency, Climate Woes",https://www.bloomberg.com/news/articles/2024-08-16/troubled-brazil-airlines-hit-with-losses-amid-floods-real-woes,Bloomberg.com,"Brazilian airlines, already struggling with high interest rates and volatile fuel costs, are being hit with more losses as currency woes and climate...","Aug 16, 2024",2024-08-16
Brazil's central bank focused on reducing risk premium linked to monetary policy uncertainty,https://www.reuters.com/world/americas/brazils-central-bank-focused-reducing-risk-premium-linked-monetary-policy-2024-08-16/,Reuters,"BRASILIA, Aug 16 (Reuters) - Brazil's central bank is committed to lowering the risk premium associated with uncertainties surrounding monetary policy,...","Aug 16, 2024",2024-08-16
"Venezuelan government has authoritarian bias, says Brazil's Lula",https://www.reuters.com/world/americas/venezuelan-government-has-authoritarian-bias-says-brazils-lula-2024-08-16/,Reuters,"BRASILIA, Aug 16 (Reuters) - Brazilian President Luiz Inacio Lula da Silva said on Friday that he believes the Venezuelan government has authoritarian...","Aug 16, 2024",2024-08-16
Brazil's economy shows strength in Q2 as June activity overshoots forecasts,https://www.reuters.com/world/americas/brazils-economy-shows-strength-q2-june-activity-overshoots-forecasts-2024-08-16/,Reuters,"BRASILIA, Aug 16 (Reuters) - The Brazilian economy closed the second quarter showing resilience after much stronger-than-expected activity data in June,...","Aug 16, 2024",2024-08-16
"Brazil Economic Activity Tops All Forecasts, Backing Rate Hike Warning",https://www.bloomberg.com/news/articles/2024-08-16/brazil-economy-tops-all-forecasts-as-traders-bet-on-rate-hikes,Bloomberg,Brazil's economy grew much more than expected in June as central bankers warn that stronger demand and above-target inflation could force them to hike interest...,"Aug 16, 2024",2024-08-16
"Oil output loss in Brazil at 120,000 bpd after environmental workers strike done, says oil lobby",https://www.reuters.com/business/energy/oil-output-loss-brazil-120000-bpd-after-environmental-workers-strike-done-says-2024-08-16/,Reuters,"RIO DE JANEIRO, Aug 16 (Reuters) - A strike at Brazil's environmental agency Ibama, which approves oil licenses, is still reducing the nation's oil output...","Aug 16, 2024",2024-08-16
Brazil’s Lula Says His Central Bank Pick Will Raise Rates If Necessary,https://www.bloomberg.com/news/articles/2024-08-16/lula-says-his-central-bank-pick-will-raise-rates-if-necessary,Bloomberg,President Luiz Inacio Lula da Silva said that his pick to lead Brazil's central bank will not “owe any favors” to the government and can raise interest...,"Aug 16, 2024",2024-08-16
Wild and ‘Worrying’ Stock Rally Mints Billionaire in Brazil,https://www.bloomberg.com/news/articles/2024-08-15/wild-stock-rally-mints-a-new-billionaire-in-brazil,Bloomberg,A massive jump in the shares of a Brazilian waste management company has vaulted its founder into the ranks of billionaires in the South American country.,"Aug 15, 2024",2024-08-15
"Brazil's Lula to nominate Galipolo as new cenbank chief in two weeks, local media reports",https://www.reuters.com/markets/brazils-lula-nominate-galipolo-new-cenbank-chief-two-weeks-local-media-reports-2024-08-15/,Reuters,"SAO PAULO, Aug 15 (Reuters) - Brazilian President Luiz Inacio Lula da Silva will nominate current central bank director Gabriel Galipolo to be the monetary...","Aug 15, 2024",2024-08-15
MGM Resorts Joins With Grupo Globo for Online Betting in Brazil,https://www.bloomberg.com/news/articles/2024-08-15/mgm-resorts-joins-with-grupo-globo-for-online-betting-in-brazil,Bloomberg.com,MGM Resorts International formed a joint venture with Rio de Janeiro's Grupo Globo to tackle the growing Brazilian sports and online betting market.,"Aug 15, 2024",2024-08-15
"Brazil plane crashed minute after pilots sensed trouble, black box indicates, according to TV Globo report",https://www.reuters.com/world/americas/black-box-shows-brazil-plane-crashed-1-minute-after-pilots-sensed-trouble-local-2024-08-15/,Reuters,"SAO PAULO, Aug 15 (Reuters) - Authorities investigating the Brazilian plane crash that killed all 62 on board last week now have the full transcript of the...","Aug 15, 2024",2024-08-15
"Lula eyes Galipolo among joint nominations for Brazil central bank, sources say",https://www.reuters.com/markets/lula-eyes-galipolo-among-joint-nominations-brazil-central-bank-sources-say-2024-08-15/,Reuters,"BRASILIA, Aug 15 (Reuters) - Brazil's President Luiz Inacio Lula da Silva is looking at submitting all four of his upcoming nominations for the board of the...","Aug 15, 2024",2024-08-15
Lula Warns Maduro Brazil’s Ties With Venezuela Are Worsening,https://www.bloomberg.com/news/articles/2024-08-15/lula-warns-maduro-brazil-s-ties-with-venezuela-are-worsening,Bloomberg.com,"Brazil's Luiz Inacio Lula da Silva said Nicolas Maduro owes the world an explanation about what happened in Venezuela's election, and that the ongoing...","Aug 15, 2024",2024-08-15
"US, Brazil float new Venezuela election despite government, opposition rebuffs",https://www.reuters.com/world/americas/brazils-lula-says-new-election-could-be-solution-venezuela-crisis-2024-08-15/,Reuters,"U.S. President Joe Biden on Thursday seemingly backed a new election in Venezuela, after Brazilian President Luiz Inacio Lula da Silva also floated the idea...","Aug 15, 2024",2024-08-15
Leaked Messages Ignite Firestorm Around Crusading Brazil Judge,https://www.bloomberg.com/news/articles/2024-08-14/leaked-messages-ignite-firestorm-around-crusading-brazil-judge,Bloomberg.com,Brazilian Supreme Court Justice Alexandre de Moraes pushed back against allegations of impropriety on Wednesday after the publication of leaked messages...,"Aug 14, 2024",2024-08-14
Brazil Barge Operator Says Amazon Drought Worse Than in 2023,https://www.bloomberg.com/news/articles/2024-08-14/brazil-barge-operator-says-amazon-drought-worse-than-in-2023,Bloomberg.com,"Drought in the Amazon region is worse this year than in 2023, signaling a challenge for grain shipments, according to Hidrovias do Brasil SA,...","Aug 14, 2024",2024-08-14
Brazil Senate committee again postpones vote on central bank financial autonomy,https://www.reuters.com/markets/brazil-senate-committee-again-postpones-vote-central-bank-financial-autonomy-2024-08-14/,Reuters,"BRASILIA, Aug 14 (Reuters) - A Brazilian Senate committee on Wednesday once again postponed a vote on a constitutional amendment proposal to grant financial...","Aug 14, 2024",2024-08-14
Brazil and Colombia discuss Venezuelan situation,https://www.reuters.com/world/americas/lula-petro-discuss-venezuela-situation-wednesday-sources-say-2024-08-14/,Reuters,"The presidents of Brazil and Colombia discussed options for negotiating an end to the Venezuelan crisis in a phone call on Wednesday, Brazilian leader Luiz...","Aug 14, 2024",2024-08-14
Brazil's Lula nods to 'long-term partnership' with China,https://www.reuters.com/world/brazils-lula-nods-long-term-partnership-with-china-2024-08-14/,Reuters,"BRASILIA, Aug 14 (Reuters) - Brazilian President Luiz Inacio Lula da Silva said on Wednesday that he will discuss a ""long-term strategic partnership"" with...","Aug 14, 2024",2024-08-14
"Germany, Italy import legally dubious Brazilian gold, study shows",https://www.reuters.com/markets/commodities/germany-italy-import-legally-dubious-brazilian-gold-study-shows-2024-08-13/,Reuters,"BRASILIA, Aug 13 (Reuters) - All Brazilian gold imports by Germany and 71% by Italy come from areas of the Amazon where illegal mining is rampant,...","Aug 13, 2024",2024-08-13
Italian businessman arrested in Brazil in mafia investigation,https://www.reuters.com/world/italian-businessman-arrested-brazil-550-million-mafia-investigation-2024-08-13/,Reuters,"ROME, Aug 13 (Reuters) - An Italian businessman was arrested in the Brazilian city of Natal as part of an international investigation into a mafia network...","Aug 13, 2024",2024-08-13
Brazil plane crash victims being identified and flown home,https://www.reuters.com/world/americas/brazil-plane-crash-victims-being-identified-flown-home-2024-08-13/,Reuters,"SAO PAULO, Aug 13 (Reuters) - Forensics experts at Sao Paulo's morgue had by Tuesday identified the bodies of 35 of the 62 people who were killed in a plane...","Aug 13, 2024",2024-08-13
Natura shares fall as API bankruptcy filing overshadows operating results,https://www.reuters.com/business/retail-consumer/natura-posts-better-than-expected-q2-core-earnings-api-hits-bottom-line-2024-08-13/,Reuters,Shares of Brazilian cosmetics maker Natura &Co plunged on Tuesday after it posted better-than-expected second-quarter core earnings but saw its bottom line...,"Aug 13, 2024",2024-08-13
Brazil environmental workers sign agreement to end strike holding up oil permits,https://www.reuters.com/business/environment/brazil-environmental-workers-sign-agreement-end-strike-holding-up-oil-permits-2024-08-12/,Reuters,"SAO PAULO/RIO DE JANEIRO, Aug 12 (Reuters) - A union representing Brazil's federal environment workers said it had signed an agreement with the government...","Aug 13, 2024",2024-08-13
Brazil's central bank had no reason to intervene in FX amid 'accelerated weakening',https://www.reuters.com/markets/currencies/brazils-central-bank-had-no-reason-intervene-fx-amid-accelerated-weakening-2024-08-13/,Reuters,"BRASILIA, Aug 13 (Reuters) - The Brazilian real has recently experienced ""accelerated"" weakening, but central bank chief Roberto Campos Neto said on Tuesday...","Aug 13, 2024",2024-08-13
"Brazil's service sector beats forecasts, hits record high in June",https://www.reuters.com/world/americas/brazils-service-sector-beats-forecasts-hits-record-high-june-2024-08-13/,Reuters,"SAO PAULO, Aug 13 (Reuters) - Services activity in Brazil grew more than expected in June to hit an all-time high, eclipsing a record that had been set in...","Aug 13, 2024",2024-08-13
"LATAM Airlines mulls possible purchase of up to 30 Embraer jets, Brazil minister says",https://www.reuters.com/business/aerospace-defense/latam-airlines-mulls-possible-purchase-up-30-embraer-jets-brazil-minister-says-2024-08-13/,Reuters,"SAO PAULO, Aug 13 (Reuters) - LATAM Airlines (LTM.SN) , opens new tab could potentially buy as many as 30 aircraft from Brazilian planemaker Embraer (EMBR3.","Aug 13, 2024",2024-08-13
Brazil's lower house approves second bill regulating tax reform,https://www.reuters.com/world/americas/brazils-lower-house-approves-second-bill-regulating-tax-reform-2024-08-13/,Reuters,"BRASILIA, Aug 13 (Reuters) - Lawmakers in Brazil's lower house of Congress approved on Tuesday the main text of a bill that would carry out a major overhaul...","Aug 13, 2024",2024-08-13
Brazil Turns to LNG as Drought Threatens Hydro Reservoirs,https://www.bloomberg.com/news/articles/2024-08-13/brazil-turns-to-lng-as-drought-threatens-hydro-reservoirs,Bloomberg,Brazil has emerged as the latest contender for global liquefied natural gas supplies as dry weather threatens its vast hydropower production.,"Aug 13, 2024",2024-08-13
"Brazil's Lula to name new central bank head in coming weeks, says finance minister",https://www.reuters.com/markets/brazils-lula-name-new-central-bank-head-coming-weeks-says-finance-minister-2024-08-13/,Reuters,"BRASILIA, Aug 13 (Reuters) - Brazilian Finance Minister Fernando Haddad said on Tuesday that President Luiz Inacio Lula da Silva will announce in coming...","Aug 13, 2024",2024-08-13
Arabica Coffee Reverses Gains as Brazil Crop Avoids Frost So Far,https://www.bloomberg.com/news/articles/2024-08-13/arabica-coffee-reverses-gains-as-brazil-crop-avoids-frost-so-far,Bloomberg,Arabica coffee futures dropped in New York on speculation the crop in top producer Brazil may escape the latest cold snap relatively unscathed.,"Aug 13, 2024",2024-08-13
Coffee Jumps Most in Five Weeks as Market Eyes Brazil Frost Risk,https://www.bloomberg.com/news/articles/2024-08-12/coffee-jumps-most-in-five-weeks-as-market-eyes-brazil-frost-risk,Bloomberg.com,Arabica coffee prices jumped in New York after frost in Brazil added to supply concerns as growers brace for another cold snap in coming days.,"Aug 12, 2024",2024-08-12
"Antonio Delfim Netto, Minister Behind Brazil’s Boom, Dies at 96",https://www.bloomberg.com/news/articles/2024-08-12/antonio-delfim-netto-minister-behind-brazil-s-boom-dies-at-96,Bloomberg.com,"Antonio Delfim Netto, a former Brazilian finance minister who oversaw what became known as the country's economic miracle, has died. He was 96.","Aug 12, 2024",2024-08-12
Allianz-Backed Green Hydrogen Developer Bets on Brazil With Porto do Acu Project,https://www.bloomberg.com/news/articles/2024-08-12/allianz-backed-green-hydrogen-developer-bets-on-brazil-with-porto-do-acu-project,Bloomberg.com,A Norwegian renewable energy company backed by Allianz Capital Partners is targeting a green hydrogen project in Brazil.,"Aug 12, 2024",2024-08-12
Cause of fatal Brazil plane crash remains unknown,https://www.reuters.com/world/americas/what-caused-brazil-plane-crash-that-killed-62-people-2024-08-11/,Reuters,"An ATR-72 turboprop plane operated by regional carrier Voepass crashed on Friday in a residential area near Sao Paulo, Brazil, killing all 62 passengers aboard.","Aug 12, 2024",2024-08-12
"Light frosts reported in some Brazilian coffee areas, prices surge",https://www.reuters.com/markets/commodities/light-frosts-reported-some-brazilian-coffee-areas-prices-surge-2024-08-12/,Reuters,"SAO PAULO, Aug 12 (Reuters) - Farmers reported light frosts in coffee-producing areas of Brazil over the weekend as an unusually strong cold mass for this...","Aug 12, 2024",2024-08-12
Brazil Central Bank Director Drives Home Chances of Rate Hike,https://www.bloomberg.com/news/articles/2024-08-12/brazil-central-bank-director-drives-home-rate-hike-chances,Bloomberg.com,Brazil central bank Monetary Policy Director Gabriel Galipolo hammered home the message that interest rate hikes are on the table as the inflation outlook...,"Aug 12, 2024",2024-08-12
"Delfim Netto, economic tsar of Brazil's military government, dies at 96",https://www.reuters.com/world/americas/delfim-netto-economic-tsar-brazils-military-government-dies-96-2024-08-12/,Reuters,"BRASILIA, Aug 12 (Reuters) - Antonio Delfim Netto, one of Brazil's most prominent economists who was the economics tsar of the military government in the...","Aug 12, 2024",2024-08-12
Brazilian Senate Awaits Lula’s Pick to Lead Central Bank,https://www.bloomberg.com/news/articles/2024-08-12/brazil-politics-senate-awaits-lula-s-pick-to-lead-central-bank,Bloomberg.com,"The appointment of the central bank's monetary policy director, Gabriel Galipolo, to succeed governor Roberto Campos Neto next year is taken for granted in...","Aug 12, 2024",2024-08-12
Brazil's Embraer says Virgin Australia ordered 8 of its regional jets,https://www.reuters.com/business/aerospace-defense/embraer-poised-win-e190-e2-jet-order-virgin-australia-sources-say-2024-08-12/,Reuters,Brazilian planemaker Embraer said on Monday it had secured a firm order for eight E190-E2 regional jets from Virgin Australia.,"Aug 12, 2024",2024-08-12
"Flight, Voice Data From Brazil Plane Crash Extracted in Probe",https://www.bloomberg.com/news/articles/2024-08-11/flight-voice-data-from-brazil-plane-crash-extracted-in-probe,Bloomberg.com,"Flight and voice data boxes from a plane that crashed in Brazil have been extracted with “100% success,” a government aviation official said,...","Aug 11, 2024",2024-08-11
"Flight, Voice Data From Brazil Plane Crash Extracted in Probe",https://www.bloomberg.com/news/articles/2024-08-11/flight-voice-data-from-brazil-plane-crash-extracted-in-probe,Bloomberg,"Flight and voice data boxes from a plane that crashed in Brazil have been extracted with “100% success,” a government aviation official said.","Aug 11, 2024",2024-08-11
Brazilian Plane Crashes Outside Sao Paulo Killing All Onboard,https://www.bloomberg.com/news/articles/2024-08-09/voepass-plane-crashes-in-brazil-with-62-people-on-board,Bloomberg,"A passenger plane carrying 58 passengers and four crew members crashed into a residential neighborhood in Brazil, leaving flaming wreckage and killing everyone...","Aug 10, 2024",2024-08-10
São Paulo plane crash: All 61 on board killed,https://www.reuters.com/world/americas/plane-with-capacity-transport-68-people-crashes-brazil-website-g1-reports-2024-08-09/,Reuters,"A regional turboprop plane fell into what aviation experts called a flat spin before crashing in a residential neighborhood near Sao Paulo in Brazil on Friday,...","Aug 10, 2024",2024-08-10
Brazil authorities recover bodies of all 62 plane crash victims,https://www.reuters.com/world/americas/removal-bodies-begins-brazil-plane-crash-that-killed-62-2024-08-10/,Reuters,"VINHEDO, Brazil, Aug 10 (Reuters) - Brazilian emergency crews on Saturday recovered the remains of the 62 victims aboard an airliner that plunged to the...","Aug 10, 2024",2024-08-10
Brazil inflation speeds up in July as central bank vows 'caution',https://www.reuters.com/world/americas/brazil-inflation-speeds-up-july-central-bank-vows-caution-2024-08-09/,Reuters,"Consumer prices came in slightly above expectations in July, pushed up by higher gasoline and air ticket costs, adding to monetary policy uncertainties...","Aug 9, 2024",2024-08-09
"Brazil Inflation Speeds Up Again, Piling Pressure on Central Bank",https://www.bloomberg.com/news/articles/2024-08-09/brazil-inflation-speeds-up-again-pressuring-central-bank,Bloomberg.com,"Brazil's annual inflation accelerated to the upper limit of the target range, dealing another blow to the central bank as it works to contain price...","Aug 9, 2024",2024-08-09
"Petrobras Posts Surprise Loss on Tax Deal, Keeps Dividend",https://www.bloomberg.com/news/articles/2024-08-09/petrobras-maintains-dividend-after-tax-settlement-with-brazil,Bloomberg,Brazil's state-controlled oil producer Petroleo Brasileiro SA surprised investors with a net loss of 2.6 billion reais ($470 million) mainly due to a tax...,"Aug 9, 2024",2024-08-09
"Budget Cuts in Brazil Are Necessary, Lula Official Says",https://www.bloomberg.com/news/articles/2024-08-09/brazil-politics-budget-cuts-are-necessary-lula-minister-says,Bloomberg,"Budget cuts in Brazil are necessary in light of President Luiz Inacio Lula da Silva's commitment to fiscal responsibility, Chief of Staff Rui Costa told...","Aug 9, 2024",2024-08-09
Brazil fire brigades fight Amazon blazes off to torrid start in 2024,https://www.reuters.com/business/environment/brazil-fire-brigades-fight-amazon-blazes-off-torrid-start-2024-2024-08-09/,Reuters,"APUI, Brazil Aug 9 (Reuters) - Fire brigades in the Brazilian Amazon are battling blazes off to their worst start in 20 years for the rainforest,...","Aug 9, 2024",2024-08-09
Brazil oil producer Petrobras open to extra dividends this year,https://www.reuters.com/business/energy/petrobras-keeps-door-open-potential-extra-dividends-this-year-2024-08-09/,Reuters,"Brazilian state-run oil company Petrobras will pay extraordinary dividends if there is an ""opportunity"" for it, Chief Financial Officer Fernando Melgarejo...","Aug 9, 2024",2024-08-09
Brazil's Petrobras does not see repurchase of refinery from Mubadala as a priority,https://www.reuters.com/markets/commodities/brazils-petrobras-does-not-see-repurchase-refinery-mubadala-priority-2024-08-09/,Reuters,"Petrobras does not see the repurchase of the Mataripe refinery owned by Abu Dhabi sovereign fund Mubadala (MUDEV.UL) in Brazil as a priority, the state-run...","Aug 9, 2024",2024-08-09
Brazil's Porto Alegre airport to resume operations after major floods,https://www.reuters.com/world/americas/brazils-porto-alegre-airport-resume-operations-after-major-floods-2024-08-09/,Reuters,"SAO PAULO, Aug 9 (Reuters) - Operations at Salgado Filho International Airport in the Brazilian city of Porto Alegre, one of the country's busiest,...","Aug 9, 2024",2024-08-09
"Brazil central bank will do 'whatever is necessary' to control inflation, director says",https://www.reuters.com/markets/brazil-cenbank-will-do-whatever-is-necessary-control-inflation-director-says-2024-08-08/,Reuters,"SAO PAULO, Aug 8 (Reuters) - Brazil's central bank will do ""whatever is necessary"" to control inflation, monetary policy director Gabriel Galipolo said on...","Aug 8, 2024",2024-08-08
Northern Brazil cuts hydro power use with prolonged drought,https://www.reuters.com/business/environment/northern-brazil-cuts-hydro-power-use-with-prolonged-drought-2024-08-08/,Reuters,"SAO PAULO, Aug 8 (Reuters) - Severe drought in an Amazonian river that powers two of Brazil's largest hydroelectric plants has forced a policy shift toward...","Aug 8, 2024",2024-08-08
BP to expand sugarcane crushing capacity in Brazil's Tocantins,https://www.reuters.com/markets/commodities/bp-expand-sugarcane-crushing-capacity-brazils-tocantins-2024-08-08/,Reuters,"BP Bunge Bioenergia, the Brazilian bioenergy venture controlled by BP Plc , will invest 530 million reais ($94.49 million) to expand sugarcane crushing...","Aug 8, 2024",2024-08-08
"Petrobras obtains environmental licenses to increase Brazil oil production, sources say",https://www.reuters.com/markets/commodities/petrobras-obtains-environmental-licenses-increase-brazil-oil-production-sources-2024-08-08/,Reuters,"RIO DE JANEIRO, Aug 8 (Reuters) - Brazil's state-run oil company Petrobras has obtained environmental licenses to expand production in two offshore fields,...","Aug 8, 2024",2024-08-08
Brazil and Nicaragua expel ambassadors in leftist run-in,https://www.reuters.com/world/americas/nicaragua-expel-brazils-ambassador-relations-deteriorate-2024-08-08/,Reuters,"BRASILIA, Aug 8 (Reuters) - Brazil and Nicaragua expelled each other's ambassadors on Thursday in a tit-for-tat retaliation as relations deteriorated...","Aug 8, 2024",2024-08-08
"Climate change fueled record early fires in Brazil's wetlands, study says",https://www.reuters.com/business/environment/climate-change-fueled-record-early-fires-brazils-wetlands-study-says-2024-08-08/,Reuters,"Climate change intensified by 40% the weather feeding devastating wildfires that have likely killed millions of animals this year in Brazil's Pantanal,...","Aug 8, 2024",2024-08-08
"Petrobras posts net loss, cuts CAPEX and approves dividends",https://www.reuters.com/markets/commodities/brazils-petrobras-approves-245-billion-payout-shareholders-2024-08-09/,Reuters,"Brazilian state-run oil giant Petrobras on Thursday posted a net loss of 2.6 billion reais ($470 million) for the second quarter of 2024, the firm said as...","Aug 8, 2024",2024-08-08
Brazil’s Lula Considers Giving Up on Bank Tax Hike,https://www.bloomberg.com/news/articles/2024-08-08/brazil-politics-government-may-give-up-on-bank-tax-hike,Bloomberg,President Luiz Inacio Lula da Silva's administration is considering giving up on its idea of increasing a tax on bank profits to offset a payroll break...,"Aug 8, 2024",2024-08-08
Brazil Real Adds to Gains as Central Banker Sounds Hawkish Note,https://www.bloomberg.com/news/articles/2024-08-08/brazil-real-adds-to-gains-as-central-banker-sounds-hawkish-note,Bloomberg,Brazil's real strengthened while swap rates jumped as a member of the central bank's board reaffirmed policymakers' readiness to raise interest rates if needed.,"Aug 8, 2024",2024-08-08
Brazil facing fewer Chinese restrictions on poultry exports,https://www.reuters.com/world/brazil-facing-fewer-chinese-restrictions-poultry-exports-2024-08-07/,Reuters,"SAO PAULO, Aug 7 (Reuters) - China's commerce chamber CFNA said on Wednesday that starting Aug. 2 restrictions on Brazilian poultry sales only apply to...","Aug 7, 2024",2024-08-07
